occ_code,title,ai_exposure,automation_exposure,augmentation_exposure,theoretical_exposure,theoretical_exposure_conservative,automation_share,augmentation_share,classified_task_n,soc_major,soc_major_label,exposure_q,high_exposure
11-1011,Chief Executives,0.0333,0.0073795469047803,0.0259204530952196,0.8822222222222222,0.5077777777777778,0.2216080151585681,0.7783919848414318,14.0,11,Management,Q1 (low),0
11-1021,General and Operations Managers,0.1378,0.0631212903225806,0.0746787096774193,0.9615384615384616,0.4807692307692308,0.4580645161290322,0.5419354838709678,2.0,11,Management,Q3,1
11-1031,Legislators,0.0,0.0,0.0,0.7666666666666666,0.4,,,5.0,11,Management,Q0 (none),0
11-2011,Advertising and Promotions Managers,0.1731,0.0669456299881227,0.1061543700118772,0.9534883720930232,0.4767441860465116,0.3867454072104147,0.6132545927895853,6.0,11,Management,Q3,1
11-2021,Marketing Managers,0.3195,0.0539578148644257,0.2655421851355743,0.9375,0.5,0.1688820496539145,0.8311179503460855,9.0,11,Management,Q4 (high),1
11-2022,Sales Managers,0.0433,0.0152823529411764,0.0280176470588235,0.9,0.45,0.3529411764705882,0.6470588235294118,5.0,11,Management,Q1 (low),0
11-2032,Public Relations Managers,0.2315,0.0837223799114229,0.147777620088577,0.95,0.55,0.361651749077421,0.6383482509225789,7.0,11,Management,Q3,1
11-3012,Administrative Services Managers,0.0,0.0,0.0,0.6956521739130435,0.3913043478260869,,,,11,Management,Q0 (none),0
11-3013,Facilities Managers,0.1345,,,0.7646103896103895,0.4001623376623376,,,,11,Management,Q3,1
11-3021,Computer and Information Systems Managers,0.1559,0.0516677440211717,0.1042322559788283,0.9393939393939394,0.5303030303030303,0.3314159334263739,0.668584066573626,7.0,11,Management,Q3,1
11-3031,Financial Managers,0.3907,0.134715463546678,0.255984536453322,0.9701104613385316,0.4850552306692657,0.3448053840457589,0.6551946159542411,18.0,11,Management,Q4 (high),1
11-3051,Industrial Production Managers,0.0132,0.0039448275862068,0.0092551724137931,0.7406923003621116,0.4057187015028995,0.2988505747126436,0.7011494252873564,5.0,11,Management,Q1 (low),0
11-3061,Purchasing Managers,0.2004,0.1133492977975528,0.0870507022024472,0.9428571428571428,0.5857142857142857,0.5656152584708224,0.4343847415291776,4.0,11,Management,Q3,1
11-3071,"Transportation, Storage, and Distribution Managers",0.0956,0.0266009139113539,0.068999086088646,0.9551948051948052,0.486525974025974,0.2782522375664642,0.7217477624335358,5.0,11,Management,Q2,0
11-3111,Compensation and Benefits Managers,0.0,0.0,0.0,0.894736842105263,0.513157894736842,,,6.0,11,Management,Q0 (none),0
11-3121,Human Resources Managers,0.0,0.0,0.0,0.92,0.48,,,3.0,11,Management,Q0 (none),0
11-3131,Training and Development Managers,0.3777,0.193651811211113,0.1840481887888869,0.9090909090909092,0.5,0.5127132941782184,0.4872867058217816,4.0,11,Management,Q4 (high),1
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0.0,0.0,0.0,0.6938775510204082,0.3673469387755101,,,3.0,11,Management,Q0 (none),0
11-9021,Construction Managers,0.1186,0.0405477592578878,0.0780522407421121,0.8444444444444444,0.4444444444444445,0.3418866716516678,0.6581133283483321,5.0,11,Management,Q3,1
11-9031,"Education and Childcare Administrators, Preschool and Daycare",0.0395,0.0173027472796992,0.0221972527203007,0.875,0.46875,0.4380442349290944,0.5619557650709055,7.0,11,Management,Q1 (low),0
11-9032,"Education Administrators, Kindergarten through Secondary",0.0525,0.0205651447205072,0.0319348552794927,0.8181818181818181,0.4181818181818181,0.3917170422953764,0.6082829577046236,9.0,11,Management,Q2,0
11-9033,"Education Administrators, Postsecondary",0.0644,0.0,0.0644,0.8536585365853658,0.4390243902439024,0.0,1.0,5.0,11,Management,Q2,0
11-9041,Architectural and Engineering Managers,0.0306,0.0087428571428571,0.0218571428571428,0.8334975369458129,0.4426108374384236,0.2857142857142857,0.7142857142857142,7.0,11,Management,Q1 (low),0
11-9051,Food Service Managers,0.0,0.0,0.0,0.7708333333333333,0.4166666666666666,,,2.0,11,Management,Q0 (none),0
11-9071,Gambling Managers,0.0,0.0,0.0,0.8235294117647058,0.5735294117647058,,,1.0,11,Management,Q0 (none),0
11-9081,Lodging Managers,0.1215,,,0.8695652173913043,0.4565217391304347,,,3.0,11,Management,Q3,1
11-9111,Medical and Health Services Managers,0.0659,0.0156901332777473,0.0502098667222526,0.8571428571428571,0.4285714285714285,0.238090034563693,0.761909965436307,4.0,11,Management,Q2,0
11-9121,Natural Sciences Managers,0.0613,0.023001039966315,0.0382989600336849,0.9498415323136284,0.5306967984934087,0.3752208803640306,0.6247791196359694,16.0,11,Management,Q2,0
