year,exposure_q,entries,entry_at_risk,exits,exit_at_risk,entry_rate,exit_rate
2020,Q0 (none),12877195.4371,76167303.3381,13948655.3044,77251423.7992,16.906461004585204,18.056178926432228
2020,Q4 (high),9099286.8562,61066990.3858,8726293.3056,61075464.962400004,14.900499924286217,14.287723083192546
2021,Q0 (none),13774585.6181,90782157.9781,13718658.8335,90672808.5004,15.173229988014755,15.129848805156927
2021,Q4 (high),9750279.0175,67029508.9186,9273617.9957,66811815.2942,14.5462486221414,13.880206599483087
2022,Q0 (none),13581288.9761,93064763.626,14113305.1875,93575530.7263,14.593373954807662,15.08226037080158
2022,Q4 (high),8912578.459999999,64393078.5079,8910239.9167,64667951.159499995,13.840895118730142,13.778447835347954
2023,Q0 (none),13471831.6083,98414287.4959,13527108.5188,98149441.8715,13.688898178388218,13.782155314250353
2023,Q4 (high),8841061.0117,67986237.3687,8438475.001,67938429.3411,13.00419225107803,12.420768455851045
2024,Q0 (none),12799513.3983,98121843.36050001,13745320.8013,98910203.3123,13.044509723767154,13.896767311154338
2024,Q4 (high),8538245.2162,65220848.711,8122741.2703,65075686.6094,13.091281982597014,12.481990884021949
2025,Q0 (none),11739637.8444,82242715.5951,11732963.537,82168226.869,14.274380119203464,14.279197670537236
2025,Q4 (high),7171407.157,55926082.2985,7165713.4428,56113203.5597,12.823010055886472,12.770102200948568
