check,detail,outcome,exposure,coefficient,std_error,coefficient_x100,std_error_x100,p_value,nobs,occupations,post_from,minimum_cell_sample,weighted,occupation_trends,coefficient_pp,std_error_pp
baseline,true entry risk set,entry_rate,ai_exposure,-7.561640590568512e-05,7.5048280391143e-05,-0.007561640590568512,0.0075048280391143,0.3139207131241264,1183,239,2024,30,True,False,-0.007561640590568512,0.0075048280391143
alternative outcome,entrant share of current employment,entrant_share,ai_exposure,0.010196871993590264,0.011408827136236671,1.0196871993590264,1.1408827136236672,0.371674006636884,1183,239,2024,30,True,False,1.0196871993590264,1.1408827136236672
occupation trends,linear trend by SOC,entry_rate,ai_exposure,5.777365931707341e-05,0.0073391780424309225,0.005777365931707341,0.7339178042430923,0.9937191556814545,1183,239,2024,30,True,True,0.005777365931707341,0.7339178042430923
weighting,unweighted occupation cells,entry_rate,ai_exposure,-8.111799502447407e-05,7.768798464439728e-05,-0.008111799502447408,0.007768798464439728,0.29668449870837366,1183,239,2024,30,False,False,-0.008111799502447408,0.007768798464439728
sample window,exclude 2020,entry_rate,ai_exposure,-6.755723470046867e-05,8.080148426046292e-05,-0.006755723470046867,0.008080148426046293,0.4033721772909604,989,237,2024,30,True,False,-0.006755723470046867,0.008080148426046293
sample,balanced 2020-2025 occupations,entry_rate,ai_exposure,-8.193402138282461e-05,8.266241543559623e-05,-0.00819340213828246,0.008266241543559623,0.32189749902542264,954,159,2024,30,True,False,-0.00819340213828246,0.008266241543559623
minimum sample,at least 15 current workers,entry_rate,ai_exposure,-6.55208649262465e-05,6.162816577937237e-05,-0.006552086492624651,0.006162816577937237,0.2879097237582027,1590,315,2024,15,True,False,-0.006552086492624651,0.006162816577937237
minimum sample,at least 50 current workers,entry_rate,ai_exposure,-8.989900777023994e-05,9.352105813434249e-05,-0.008989900777023994,0.009352105813434248,0.3367463574597458,891,181,2024,50,True,False,-0.008989900777023994,0.009352105813434248
minimum sample,at least 100 current workers,entry_rate,ai_exposure,-0.00010996680059252272,0.00012981218134217932,-0.010996680059252271,0.012981218134217931,0.3973693615161149,576,112,2024,100,True,False,-0.010996680059252271,0.012981218134217931
placebo,fake post 2021; pre-2024 only,entry_rate,ai_exposure,-4.264874015904024e-05,6.847849177166639e-05,-0.004264874015904024,0.006847849177166639,0.5336644736122271,801,233,2021,30,True,False,-0.004264874015904024,0.006847849177166639
placebo,fake post 2022; pre-2024 only,entry_rate,ai_exposure,-9.811483361966676e-05,5.348428774164058e-05,-0.009811483361966676,0.005348428774164058,0.06711220218202496,801,233,2022,30,True,False,-0.009811483361966676,0.005348428774164058
placebo,fake post 2023; pre-2024 only,entry_rate,ai_exposure,-0.00010531421606228764,6.301455495304075e-05,-0.010531421606228764,0.006301455495304075,0.0952234484506691,801,233,2023,30,True,False,-0.010531421606228764,0.006301455495304075
leave out,Computer & Mathematical,entry_rate,ai_exposure,-9.149311269916865e-05,9.017962564665481e-05,-0.009149311269916865,0.00901796256466548,0.3105863941627818,1131,227,2024,30,True,False,-0.009149311269916865,0.00901796256466548
leave out,Business & Financial Operations,entry_rate,ai_exposure,-0.00012469417023412994,7.589562308147115e-05,-0.012469417023412994,0.007589562308147115,0.10074816999821223,1106,224,2024,30,True,False,-0.012469417023412994,0.007589562308147115
leave out,Legal,entry_rate,ai_exposure,-7.834662004799994e-05,7.569744453097445e-05,-0.007834662004799993,0.007569744453097446,0.30094144967242964,1165,236,2024,30,True,False,-0.007834662004799993,0.007569744453097446
leave out,Office & Administrative Support,entry_rate,ai_exposure,-1.5254440159468742e-05,6.531409304750237e-05,-0.0015254440159468742,0.0065314093047502365,0.8153895386979595,1019,205,2024,30,True,False,-0.0015254440159468742,0.0065314093047502365
leave out,Sales & Related,entry_rate,ai_exposure,-4.477731863007757e-05,7.43785946023889e-05,-0.004477731863007757,0.00743785946023889,0.5473138707389622,1131,229,2024,30,True,False,-0.004477731863007757,0.00743785946023889
