occ_code,entry_rate_baseline,entry_rate_recent,entrant_share_baseline,entrant_share_recent,exit_rate_baseline,exit_rate_recent,current_sample_n_baseline,current_sample_n_recent,young_employment_baseline,young_employment_recent,median_weekly_wage_baseline,median_weekly_wage_recent,wage_sample_n_baseline,wage_sample_n_recent,title,soc_major_label,ai_exposure,automation_exposure,augmentation_exposure,theoretical_exposure,entry_rate_change_pp,exit_rate_change_pp,wage_growth,young_employment_growth,employment_wage_interaction,joint_pattern
15-1251,0.000285715147053455,0.0002366801554787655,0.1676914906192969,0.18366867548194024,0.16028802080553822,0.09019172982936767,566.0,188.0,69309.24769696969,53562.5930725,1335.2685185185185,1220.3095238095239,216.0,84.0,Computer Programmers,Computer & Mathematical,0.7451,0.343197849775733,0.401902150224267,1.0,-0.004903499157468948,-7.009629097617055,-0.08609428973622602,-0.22719413567027014,0.01956011774276768,fewer juniors + lower wages
43-4051,0.002968046683683284,0.00249596957848892,0.16170412691769936,0.1479812405518628,0.1549859545154425,0.14009667899861306,6071.0,2429.0,735686.2636772727,683214.1687333334,619.3305439330544,676.6817713697219,2390.0,971.0,Customer Service Representatives,Office & Administrative Support,0.7011,0.2450718124869591,0.4560281875130408,1.0,-0.04720771051943636,-1.4889275516829448,0.09260196836483936,-0.07132401070214567,-0.006604743782693557,fewer juniors + higher wages
43-9021,0.00027882736825840174,0.00020797634164213956,0.18589313095337118,0.1746567317477687,0.13535324775465166,0.15810882882664481,490.0,170.0,60980.178269128795,49269.62160666667,646.6792452830189,800.0,212.0,63.0,Data Entry Keyers,Office & Administrative Support,0.6707,0.6707,0.0,0.9285714285714284,-0.007085102661626218,2.275558107199316,0.23708933885744288,-0.19203874102792828,-0.045530338145327205,fewer juniors + higher wages
29-2072,0.0001019578845199691,7.870363006970906e-05,0.17701680798497196,0.2010482844567677,0.1883967195221295,0.17157104420320196,192.0,65.0,23355.023905871214,15931.627103333332,717.3783783783783,887.3846153846154,74.0,26.0,Medical Records Specialists,Healthcare Practitioners & Technical,0.6674,0.3654624970913888,0.3019375029086111,1.0,-0.0023254254450260033,-1.6825675318927535,0.23698266093624576,-0.31785010507618083,-0.07532496367981865,fewer juniors + higher wages
13-1161,0.00040814547380121745,0.0006135632711706558,0.11729173849945913,0.148570941465051,0.10775799244147516,0.11889646097683093,1194.0,596.0,141629.9533742424,167546.03288666668,1082.3133640552996,1154.0,434.0,235.0,Market Research Analysts and Marketing Specialists,Business & Financial Operations,0.6483,0.2794565108441589,0.3688434891558411,1.0,0.02054177973694384,1.1138468535355772,0.06623463991620593,0.18298445275868813,0.012119909338735703,more juniors + higher wages
31-9094,5.5910150166827186e-05,6.914105182079059e-05,0.10427823731473676,0.10322691719859305,0.12362431379396309,0.07956896532250426,163.0,99.0,21891.790421969697,27198.915744166665,403.1746031746032,525.2941176470588,63.0,34.0,Medical Transcriptionists,Healthcare Support,0.6365,0.4463700902026174,0.1901299097973826,0.9285714285714284,0.00132309016539634,-4.405534847145883,0.3028948587308937,0.24242536676538595,0.07342939721918668,more juniors + higher wages
13-2051,0.00020134165039765382,0.00028438943335702715,0.09197726604363961,0.11611690552227487,0.11682489398342565,0.07000161297057064,698.0,348.0,89086.89923768939,100882.05499166666,1405.3584905660377,1504.087591240876,265.0,137.0,Financial and Investment Analysts,Business & Financial Operations,0.5716,0.1793771272377523,0.3922228727622476,0.9230769230769232,0.008304778295937332,-4.6823281012855,0.0702518975319053,0.13240056456008276,0.009301390894641347,more juniors + higher wages
15-1253,3.4616383718728973e-05,4.547771188851951e-05,0.14296750292726687,0.15618956127667138,0.11843403622118778,0.12357651240507665,92.0,43.0,9941.16408314394,11625.966680833333,1058.0,,16.0,,Software Quality Assurance Analysts and Testers,Computer & Mathematical,0.5195,0.201485431592484,0.318014568407516,0.9473684210526316,0.001086132816979054,0.5142476183888869,,0.16947739556438002,,insufficient data
43-9111,1.8657177055449598e-05,3.430271147465254e-05,0.10962606672377448,0.15142028872401314,0.15102183880557105,0.19716005213486412,53.0,32.0,7254.61049280303,9643.119420833333,1154.0,,14.0,,Statistical Assistants,Office & Administrative Support,0.5099,0.2614793210309059,0.248420678969094,0.9565217391304348,0.0015645534419202942,4.613821332929308,,0.3292401336225885,,insufficient data
15-1212,7.211909033147481e-05,8.759051975578371e-05,0.09554807154100436,0.07217586782611832,0.10248596430743254,0.08511560054161892,264.0,162.0,30654.9500405303,49379.36719583333,1487.157894736842,1864.6153846153845,95.0,65.0,Information Security Analysts,Computer & Mathematical,0.4859,0.1611132229514374,0.3247867770485625,0.9565217391304348,0.0015471429424308899,-1.7370363765813621,0.253811307605192,0.6108121895663385,0.15503104053502278,more juniors + higher wages
15-1254,3.7301782687576264e-05,3.175826406824198e-05,0.10217900367034105,0.0888824077098446,0.1232940891396847,0.15774046924405186,123.0,62.0,15079.719237689395,15179.692851666667,1243.5238095238096,1154.0,42.0,11.0,Web Developers,Computer & Mathematical,0.4802,0.1878704544947993,0.2923295455052007,1.0,-0.0005543518619334283,3.4446380104367154,-0.0719920349237958,0.0066296734310147265,-0.0004772836811789733,more juniors + lower wages
27-3042,3.8294569041553796e-05,6.725051113811546e-06,0.17204882148333106,0.06306082965222125,0.12886921001657503,0.14919218511882912,71.0,11.0,9155.395176136364,4233.720561666667,924.0,,10.0,,Technical Writers,"Arts, Design, Entertainment, Sports, & Media",0.4747,0.2007980131796274,0.2739019868203725,0.9333333333333332,-0.0031569517927742246,2.032297510225409,,-0.5375709644186736,,insufficient data
43-9031,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,Desktop Publishers,Office & Administrative Support,0.464,0.2426887518821717,0.2213112481178283,0.967741935483871,0.0,,,,,insufficient data
27-3031,8.86363881501816e-05,0.00013661247110920507,0.1021934027487045,0.16415830054021738,0.08979297913132073,0.0834113660570959,356.0,129.0,35590.98558352273,33894.19612916667,1072.5774647887324,928.3728813559322,142.0,59.0,Public Relations Specialists,"Arts, Design, Entertainment, Sports, & Media",0.453,0.1762716884920901,0.2767283115079099,0.9393939393939394,0.004797608295902347,-0.6381613074224829,-0.13444677719497344,-0.04767469702051774,0.006409709368155413,fewer juniors + lower wages
