year,exposure_q,young_employed,occupations,employment_index
2020,Q0 (none),8076326.8471,150,100.0
2021,Q0 (none),7709500.6351,154,95.45800685206645
2022,Q0 (none),7949718.81,157,98.43235619983035
2023,Q0 (none),8468214.84,154,104.85230477071042
2024,Q0 (none),8673571.12,157,107.39499879347322
2025,Q0 (none),8764400.4,158,108.51963480337686
2020,Q1 (low),2381567.5496,39,100.0
2021,Q1 (low),2347214.8341,39,98.5575586337759
2022,Q1 (low),2675787.08,40,112.35402835621505
2023,Q1 (low),2530362.86,39,106.24778879041206
2024,Q1 (low),2517314.97,38,105.69991896399495
2025,Q1 (low),2861017.49,40,120.13169605374102
2020,Q2,2473581.1913,44,100.0
2021,Q2,2264387.7341,44,91.54289101421985
2022,Q2,2401689.3,43,97.09361101415
2023,Q2,2866266.34,45,115.87516714960235
2024,Q2,2762054.43,43,111.66216980120194
2025,Q2,2773655.35,43,112.13116269461504
2020,Q3,2002178.4782,48,100.0
2021,Q3,1876058.1278000001,48,93.70084376726571
2022,Q3,1860879.6400000001,49,92.9427451279453
2023,Q3,1978757.86,49,98.83024323480613
2024,Q3,1861559.47,48,92.9766996433595
2025,Q3,1812579.54,50,90.53036778367265
2020,Q4 (high),5990814.4665,46,100.0
2021,Q4 (high),5929072.9733,44,98.96939734079143
2022,Q4 (high),5932255.99,46,99.02252895950204
2023,Q4 (high),5947330.8,45,99.27416102195859
2024,Q4 (high),5614910.35,44,93.72532535263751
2025,Q4 (high),5779158.41,46,96.46699029516674
