check,detail,coefficient,std_error,p_value,nobs
baseline,post 2024,-0.05757047992487786,0.02478932287734443,0.02032199441554683,2187
occupation trends,linear trend by SOC,0.007438318543284323,0.06779919810780245,0.9126385679250705,2187
placebo,fake post 2021,-0.051828305304222874,0.04276114594744384,0.22575895976886207,1459
placebo,fake post 2022,-0.024775894389023678,0.042970914647511974,0.564346588524886,1459
placebo,fake post 2023,-0.06387757183983543,0.04356008111883749,0.14282109484838634,1459
leave out,Computer & Mathematical,-0.06461960733802587,0.026305759322993776,0.014126966776466077,2109
leave out,Business & Financial Operations,-0.05727047320129505,0.0265164158165737,0.030925343986627718,2067
leave out,Legal,-0.05733212248587415,0.024752979362901995,0.02066104702115168,2163
leave out,Office & Administrative Support,-0.05747474033083733,0.029349500973643944,0.050371437401518726,1911
leave out,Sales & Related,-0.06412415930151866,0.025177862504335496,0.010954795987286214,2115
age group,20-24,-0.03301480034284406,0.022578445908523634,0.1438521971269624,2187
age group,25-29,-0.024555679582033797,0.0239508678301293,0.30538075605359594,2187
age group,30-39,0.0423788002218481,0.03066767262769481,0.16718094447122733,2187
age group,40-54,-0.01911885082809832,0.03170452992661682,0.5465626031087016,2187
age group,55+,0.034310530531128085,0.03456585340476803,0.3210306121242632,2187
